face_detection_mem.committed_Committed_AS,face_detection_system.active_processes_active,face_detection_system.cpu_user,face_detection_system.file_nr_used_used,face_detection_system.processes_running,face_detection_system.ram_buffers,face_detection_system.ram_cached,face_detection_system.ram_free,face_detection_system.ram_used,Target
27375.77,1724.0,6.955047,14870.0,3.0,77.0625,1467.4844,519.1914,4727.359,4
27401.67,1723.0,6.756757,14870.0,3.0,77.0625,1467.4844,532.7969,4713.754,4
27403.37,1722.0,12.637829,14870.0,4.0,77.0625,1467.5117,471.9648,4774.559,4
27376.3,1722.0,17.92693,14870.0,1.0,77.07812,1467.5156,713.3828,4533.121,4
27426.66,1723.0,15.664691,14966.0,4.0,77.09375,1467.7695,616.0234,4630.211,4
27381.38,1720.0,9.398815,14934.0,1.0,77.09375,1467.7734,612.9062,4633.324,4
27376.11,1720.0,6.751055,14902.0,3.0,77.09375,1467.7773,622.8203,4623.406,4
27379.38,1721.0,7.016061,14902.0,2.0,77.09375,1467.7773,655.6484,4590.578,4
27376.89,1721.0,11.308017,14902.0,2.0,77.09375,1467.7773,638.5078,4607.719,4
27363.41,1721.0,5.822785,14870.0,2.0,77.10156,1467.7812,654.0586,4592.156,4
27366.66,1720.0,6.191688,14838.0,1.0,77.10156,1467.7812,668.6562,4577.559,4
27366.66,1720.0,5.311973,14838.0,1.0,77.10156,1467.7812,667.9062,4578.309,4
27359.02,1720.0,9.966216,14870.0,3.0,77.08594,1457.3555,669.8359,4586.82,4
27361.56,1720.0,11.779661,14870.0,2.0,77.08594,1457.207,675.9492,4580.855,4
27394.21,1720.0,10.508475,14870.0,8.0,76.82422,1438.6328,670.9062,4604.734,4
27373.86,1721.0,24.80884,14870.0,2.0,76.83203,1429.0195,668.6289,4616.617,4
27379.4,1721.0,11.87447,14838.0,4.0,76.83984,1429.0195,733.5547,4551.684,4
27379.34,1722.0,15.508475,14838.0,4.0,76.84766,1429.0352,628.1172,4657.098,4
27373.38,1721.0,14.164546,14870.0,4.0,77.27734,1429.1914,622.4961,4662.133,4
